Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,patient_id,Platform,ReleaseDate,create_date,version,Sample Name,selection_marker,source_name,SRA Study,tissue
SRR17762767,RNA-Seq,107,574583152,PRJNA800731,SAMN25278808,194747583,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925366,GSM5836993,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836993,CD45+,Forearm skin,SRP356854,Skin
SRR17762768,RNA-Seq,107,700823785,PRJNA800731,SAMN25278809,240487966,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925367,GSM5836994,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836994,CD90+,Forearm skin,SRP356854,Skin
SRR17762769,RNA-Seq,107,727904950,PRJNA800731,SAMN25278810,250218608,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925512,GSM5836995,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5836995,CD90+,Forearm skin,SRP356854,Skin
SRR17762770,RNA-Seq,107,857273728,PRJNA800731,SAMN25278811,293801558,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925513,GSM5836996,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_Li001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5836996,CD90+,Forearm skin,SRP356854,Skin
SRR17762771,RNA-Seq,107,674854136,PRJNA800731,SAMN25278812,233182118,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925514,GSM5836997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_Li001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5836997,CD90+,Forearm skin,SRP356854,Skin
SRR17762772,RNA-Seq,107,707927943,PRJNA800731,SAMN25278813,238813869,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925515,GSM5836998,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,-,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836998,CD90+,Lung,SRP356854,Lung
SRR17762773,RNA-Seq,107,635360757,PRJNA800731,SAMN25278814,213817367,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925516,GSM5836999,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,-,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5836999,CD90+,Lung,SRP356854,Lung
SRR17762774,RNA-Seq,107,704063424,PRJNA800731,SAMN25278815,236429079,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925517,GSM5837000,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837000,CD45+,Peripheral blood,SRP356854,Blood
SRR17762775,RNA-Seq,107,731738653,PRJNA800731,SAMN25278816,245769602,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925518,GSM5837001,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl008,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837001,CD45+,Peripheral blood,SRP356854,Blood
SRR17762776,RNA-Seq,107,732129524,PRJNA800731,SAMN25278817,249275112,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925519,GSM5837002,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl008,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837002,CD45+,Peripheral blood,SRP356854,Blood
SRR17762777,RNA-Seq,107,604706006,PRJNA800731,SAMN25278818,203141270,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925680,GSM5837003,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl008,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837003,CD45+,Peripheral blood,SRP356854,Blood
SRR17762778,RNA-Seq,107,799803172,PRJNA800731,SAMN25278819,268343132,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925681,GSM5837004,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl051,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837004,CD45+,Peripheral blood,SRP356854,Blood
SRR17762779,RNA-Seq,107,702434028,PRJNA800731,SAMN25278820,239390579,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925682,GSM5837005,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837005,CD90+,Forearm skin,SRP356854,Skin
SRR17762780,RNA-Seq,107,737693524,PRJNA800731,SAMN25278821,252321043,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925683,GSM5837006,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837006,CD90+,Forearm skin,SRP356854,Skin
SRR17762781,RNA-Seq,107,982801099,PRJNA800731,SAMN25278822,337444697,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925684,GSM5837007,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837007,CD45+,Forearm skin,SRP356854,Skin
SRR17762782,RNA-Seq,107,806665082,PRJNA800731,SAMN25278823,272756226,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925685,GSM5837008,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt01033,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837008,CD45+,Forearm skin,SRP356854,Skin
SRR17762783,RNA-Seq,107,779173786,PRJNA800731,SAMN25278824,267851329,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925686,GSM5837009,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837009,CD90+,Forearm skin,SRP356854,Skin
SRR17762784,RNA-Seq,107,831241912,PRJNA800731,SAMN25278825,285950962,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925687,GSM5837010,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt002,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837010,CD90+,Forearm skin,SRP356854,Skin
SRR17762785,RNA-Seq,107,823204928,PRJNA800731,SAMN25278826,278609483,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925368,GSM5837011,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt002,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837011,CD90+,Forearm skin,SRP356854,Skin
SRR17762786,RNA-Seq,107,749267072,PRJNA800731,SAMN25278827,256138642,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925369,GSM5837012,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt002,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837012,CD45+,Forearm skin,SRP356854,Skin
SRR17762787,RNA-Seq,107,621236329,PRJNA800731,SAMN25278828,211955681,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925370,GSM5837013,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_Li001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837013,CD90+,Forearm skin,SRP356854,Skin
SRR17762788,RNA-Seq,107,660135537,PRJNA800731,SAMN25278829,226348581,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925371,GSM5837014,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl052,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837014,CD90+,Forearm skin,SRP356854,Skin
SRR17762789,RNA-Seq,107,625874137,PRJNA800731,SAMN25278830,212113572,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925372,GSM5837015,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl054,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837015,CD45+,Forearm skin,SRP356854,Skin
SRR17762790,RNA-Seq,107,905322613,PRJNA800731,SAMN25278831,311814917,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925373,GSM5837016,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,-,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837016,CD90+,Lung,SRP356854,Lung
SRR17762791,RNA-Seq,107,739845829,PRJNA800731,SAMN25278832,252382574,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925374,GSM5837017,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837017,CD90+,Peripheral blood,SRP356854,Blood
SRR17762792,RNA-Seq,107,765497260,PRJNA800731,SAMN25278833,263995958,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925375,GSM5837018,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,-,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837018,CD90+,Lung,SRP356854,Lung
SRR17762793,RNA-Seq,107,713704231,PRJNA800731,SAMN25279058,242862058,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925520,GSM5837019,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl053,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837019,CD45+,Forearm skin,SRP356854,Skin
SRR17762794,RNA-Seq,107,747620877,PRJNA800731,SAMN25279059,249851026,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925521,GSM5837020,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03029,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837020,CD90+,Forearm skin,SRP356854,Skin
SRR17762795,RNA-Seq,107,836361862,PRJNA800731,SAMN25279060,280544322,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925522,GSM5837021,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl009,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837021,CD45+,Peripheral blood,SRP356854,Blood
SRR17762796,RNA-Seq,107,981803645,PRJNA800731,SAMN25279061,316518992,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925523,GSM5837022,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837022,CD90+,Forearm skin,SRP356854,Skin
SRR17762797,RNA-Seq,107,991818203,PRJNA800731,SAMN25279062,322424334,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925524,GSM5837023,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03030,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837023,CD90+,Forearm skin,SRP356854,Skin
SRR17762798,RNA-Seq,107,849653402,PRJNA800731,SAMN25279063,274047022,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925525,GSM5837024,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03031,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837024,CD90+,Forearm skin,SRP356854,Skin
SRR17762799,RNA-Seq,107,1179755464,PRJNA800731,SAMN25279064,379613049,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925526,GSM5837025,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03031,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837025,CD45+,Forearm skin,SRP356854,Skin
SRR17762800,RNA-Seq,107,902682495,PRJNA800731,SAMN25279065,292602417,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925527,GSM5837026,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt003,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837026,CD90+,Forearm skin,SRP356854,Skin
SRR17762801,RNA-Seq,107,74016073,PRJNA800731,SAMN25279066,24012428,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925688,GSM5837027,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03031,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:41:00Z,1,GSM5837027,CD90+,Forearm skin,SRP356854,Skin
SRR17762802,RNA-Seq,107,1019868788,PRJNA800731,SAMN25279067,332499923,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925689,GSM5837028,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt003,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837028,CD90+,Forearm skin,SRP356854,Skin
SRR17762803,RNA-Seq,107,1000872115,PRJNA800731,SAMN25279068,328924474,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925690,GSM5837029,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt003,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837029,CD90+,Forearm skin,SRP356854,Skin
SRR17762804,RNA-Seq,107,978837391,PRJNA800731,SAMN25279069,316328669,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925691,GSM5837030,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt003,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837030,CD45+,Forearm skin,SRP356854,Skin
SRR17762805,RNA-Seq,107,930622228,PRJNA800731,SAMN25279070,299844014,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925692,GSM5837031,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837031,CD90+,Forearm skin,SRP356854,Skin
SRR17762806,RNA-Seq,107,1001533054,PRJNA800731,SAMN25279071,326129575,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925693,GSM5837032,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837032,CD90+,Forearm skin,SRP356854,Skin
SRR17762807,RNA-Seq,107,1033761240,PRJNA800731,SAMN25279072,333451677,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925694,GSM5837033,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,GVHD_pt001,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:45:00Z,1,GSM5837033,CD45+,Forearm skin,SRP356854,Skin
SRR17762808,RNA-Seq,107,1224947663,PRJNA800731,SAMN25279073,396821258,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925695,GSM5837034,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03030,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:46:00Z,1,GSM5837034,CD90+,Forearm skin,SRP356854,Skin
SRR17762809,RNA-Seq,107,951895861,PRJNA800731,SAMN25279074,310305415,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925376,GSM5837035,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03030,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837035,CD90+,Forearm skin,SRP356854,Skin
SRR17762810,RNA-Seq,107,862226009,PRJNA800731,SAMN25279075,281917957,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925377,GSM5837036,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,pt03030,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:44:00Z,1,GSM5837036,CD45+,Forearm skin,SRP356854,Skin
SRR17762811,RNA-Seq,107,439310542,PRJNA800731,SAMN25279076,144044095,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX13925378,GSM5837037,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,Ctrl052,ILLUMINA,2022-04-06T00:00:00Z,2022-01-26T11:43:00Z,1,GSM5837037,CD45+,Peripheral blood,SRP356854,Blood
